Sample,Treatment,Total Counted,Microcystis spp.,Nitzschia spp.,Pseudoanabaena spp.,Glaucocystis?,Pennate diatom 1,Filamentous 1,Oedogonium?,Unidentified 1,Gloeocapsa?,pollen?,Aulacoseira spp?,Selenastrum? Kirchnerielle?,Unidentified 2,Unidentified 3,Cyclotella,Centric internal?,Anabaena?,Aphanocapsa?,Unidentified 4,Merismopedia?,Microcystis colony,Scenedesmus spp.,Unidentified 5,Unidentified 6,Unidentified 7,Aulacoseira?,Unidentified 8,Pennate diatom 2,Unidentified 9,Unidentified 10,Unidentified 11,Filamentous 2,Oodegonium?,Nitzschia acicularis?,Unidentified 12,Unidentified 13,Unidentified 14,Cylindrospernum spp.,Tetraedron,Stephanodiscus? Discostella?,Thalassiosira,Crucigenia spp.?,Filamentous 3,Filamentous 4,Unidentified 15,Unidentified 16,Pennate diatom 3,Centric diatom 1,Unidentified 17,Unidentified 18,Dinobyron?,Unidentified 19,Unidentified 20,Unidentified 21,Unidentified 22,Unidentified 23,Pennate Diatom 5,Selenastrum?,Unidentified 24,Unidentified 25,Pennate diatom 6,Unidentified 26,Unidentified 27,Unidentified 28,Unidentified 29,Unidentified 30,Unidentified 31,Unidentified 32,Selenastrum?,Unidentified 33,Unidentified 34,Unidentified 35,Unidentified 36,Unidentified 37
Initial,Initial,400,0.6075,0.0125,0.0475,0.0025,0.0025,0.0225,0.045,0.0125,0.015,0,0.185,0,0,0.0025,0.005,0.0075,0,0.0025,0,0,0,0.01,0,0,0.0025,0,0.0025,0,0.01,0.0025,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Control,453,0.386313466,0.026490066,0.06401766,0,0,0,0.12803532,0.002207506,0,0,0.017660044,0.01986755,0,0.013245033,0.035320088,0.022075055,0,0.004415011,0,0.013245033,0,0,0,0,0.004415011,0.015452539,0.002207506,0.011037528,0,0,0,0.105960265,0.088300221,0.004415011,0.013245033,0.008830022,0.004415011,0.006622517,0.002207506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Control,439,0.476082005,0.079726651,0.038724374,0,0,0,0.138952164,0,0,0,0,0.002277904,0,0,0.034168565,0,0,0,0,0,0,0.004555809,0.009111617,0,0.002277904,0,0,0.020501139,0,0,0,0.102505695,0,0.006833713,0,0,0,0,0,0.075170843,0.002277904,0.002277904,0.004555809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Control,403,0.421836228,0.064516129,0.024813896,0,0,0,0.129032258,0,0.00248139,0,0,0.007444169,0.00248139,0,0.054590571,0.004962779,0,0,0.00248139,0,0,0,0,0,0.00248139,0,0.00248139,0.054590571,0,0,0,0.066997519,0.027295285,0.00248139,0,0,0,0.007444169,0,0.05707196,0,0,0.009925558,0.024813896,0.00248139,0.009925558,0.007444169,0.004962779,0.004962779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Control,400,0.435,0.0475,0.0275,0,0,0,0.1,0,0,0,0,0.0025,0,0,0.03,0.005,0,0,0.0025,0,0,0.01,0,0,0.0025,0,0.005,0.06,0,0,0,0.035,0.09,0.0025,0.0025,0,0.0025,0,0,0.065,0.0075,0,0.0175,0.0125,0,0.0125,0,0.01,0.0025,0.0025,0.0075,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Nitrogen,461,0.334056399,0.045553145,0.034707158,0,0,0,0.160520607,0.013015184,0,0.00867679,0,0.00867679,0.002169197,0,0.023861171,0,0,0.010845987,0.004338395,0.036876356,0,0,0.00867679,0,0.00867679,0,0.002169197,0.039045553,0,0.00867679,0,0.069414317,0,0,0.002169197,0,0,0.006507592,0,0.05856833,0.002169197,0.002169197,0.060737527,0.013015184,0,0.010845987,0,0.002169197,0.004338395,0.004338395,0,0,0.00867679,0.002169197,0.002169197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Nitrogen,413,0.317191283,0.099273608,0.06779661,0,0,0,0.147699758,0,0,0.004842615,0,0.004842615,0,0.007263923,0.04842615,0,0,0.00968523,0.002421308,0.00968523,0,0,0.00968523,0,0.004842615,0.03874092,0,0.02905569,0,0.002421308,0,0.03874092,0,0.004842615,0.007263923,0,0.002421308,0.00968523,0,0.07748184,0.004842615,0,0.033898305,0.007263923,0,0,0,0,0,0.004842615,0,0,0,0,0,0.004842615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Nitrogen,409,0.498777506,0.075794621,0.06601467,0,0,0,0.070904645,0.004889976,0,0.002444988,0,0.004889976,0,0,0.039119804,0,0,0.002444988,0,0.004889976,0,0,0,0,0.007334963,0,0,0.029339853,0,0,0,0.080684597,0,0.009779951,0,0.002444988,0.017114914,0.002444988,0,0,0.002444988,0,0.046454768,0.012224939,0,0.004889976,0,0.009779951,0,0.002444988,0,0,0,0,0,0.002444988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Nitrogen,430,0.393023256,0.044186047,0.079069767,0,0,0,0.095348837,0,0,0.006976744,0,0.002325581,0,0,0.074418605,0,0,0,0,0.025581395,0,0.009302326,0,0,0.002325581,0.004651163,0.002325581,0.018604651,0,0,0,0.044186047,0,0.004651163,0.013953488,0,0.009302326,0,0,0.109302326,0.002325581,0.009302326,0.018604651,0.006976744,0,0.004651163,0,0.006976744,0,0.011627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Phosphorus,408,0.384803922,0.041666667,0.073529412,0,0,0,0.085784314,0,0,0,0,0.019607843,0,0,0.046568627,0.00245098,0,0,0.004901961,0.036764706,0,0.009803922,0,0,0.00245098,0,0.007352941,0.034313725,0,0,0,0.044117647,0,0.004901961,0,0,0,0.014705882,0,0.051470588,0,0.019607843,0.039215686,0.024509804,0,0.007352941,0,0.007352941,0.004901961,0.012254902,0,0,0,0,0.014705882,0.00245098,0.00245098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Phosphorus,400,0.325,0.0725,0.015,0,0,0.02,0.115,0,0,0.005,0,0.005,0,0,0.0375,0,0,0.005,0,0.0025,0,0.005,0,0,0,0.005,0,0.035,0,0,0,0.11,0,0.0025,0.01,0,0.005,0,0,0.0725,0.01,0,0.06,0.0375,0,0,0,0.01,0.005,0.01,0,0,0.0075,0,0.005,0.0025,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Phosphorus,411,0.323600973,0.133819951,0.0243309,0,0,0,0.082725061,0,0,0,0,0.01216545,0,0,0.03163017,0.00486618,0,0,0.00243309,0.00729927,0,0.02919708,0,0.00243309,0.01946472,0,0.00486618,0.03892944,0,0,0,0.155717762,0,0.00486618,0,0,0.00243309,0.00243309,0,0.04622871,0.02676399,0,0.01946472,0.00243309,0,0.00243309,0,0.00243309,0,0.00243309,0,0,0,0,0,0,0,0,0.00243309,0.00243309,0.00243309,0.00729927,0,0,0,0,0,0,0,0,0,0,0,0
48,Phosphorus,448,0.296875,0.089285714,0.051339286,0,0,0,0.140625,0,0,0,0,0.029017857,0,0.002232143,0.013392857,0,0,0.004464286,0.002232143,0.026785714,0,0,0,0.002232143,0.008928571,0.022321429,0,0.03125,0,0.002232143,0.006696429,0.066964286,0,0.002232143,0.004464286,0,0.002232143,0.004464286,0,0.055803571,0.020089286,0,0.055803571,0.020089286,0,0,0,0.004464286,0.004464286,0.008928571,0,0,0,0,0,0.002232143,0.004464286,0,0,0,0,0.004464286,0.002232143,0.004464286,0.002232143,0,0,0,0,0,0,0,0,0
49,Trace,409,0.454767726,0.039119804,0.031784841,0,0,0,0.171149144,0,0,0,0,0.004889976,0,0,0.039119804,0,0,0.002444988,0,0.004889976,0.002444988,0.004889976,0,0,0.002444988,0,0,0.029339853,0,0.004889976,0,0.029339853,0,0.009779951,0.004889976,0,0.004889976,0.004889976,0,0.063569682,0,0,0.06601467,0.009779951,0,0,0,0,0,0.009779951,0,0,0,0,0,0.002444988,0,0,0,0,0,0.002444988,0,0,0,0,0,0,0,0,0,0,0,0
50,Trace,427,0.451990632,0.028103045,0.014051522,0,0,0,0.262295082,0,0,0,0,0,0,0,0.06088993,0,0,0.00234192,0,0.014051522,0,0.009367681,0,0,0.00234192,0,0.00234192,0.004683841,0,0,0,0.032786885,0,0.007025761,0,0,0,0.004683841,0,0.049180328,0.018735363,0,0.018735363,0.014051522,0,0,0,0,0,0.00234192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Trace,455,0.336263736,0.037362637,0.013186813,0,0,0,0.287912088,0.010989011,0,0,0,0.004395604,0,0,0.028571429,0,0,0.002197802,0.002197802,0.002197802,0.002197802,0.004395604,0,0,0,0.085714286,0.008791209,0.026373626,0,0,0,0.03956044,0,0.010989011,0,0,0,0.004395604,0,0.052747253,0.010989011,0,0,0.010989011,0,0,0,0,0,0.004395604,0,0,0,0,0,0,0,0.002197802,0,0,0,0,0,0,0,0.004395604,0.002197802,0.004395604,0,0,0,0,0,0
52,Trace,442,0.260180996,0.049773756,0.036199095,0,0,0,0.228506787,0,0,0,0,0.013574661,0,0,0.049773756,0.004524887,0,0,0.004524887,0.011312217,0,0.013574661,0,0,0,0.06561086,0.004524887,0.018099548,0,0,0,0.063348416,0,0.004524887,0,0,0,0,0,0.076923077,0.002262443,0,0.056561086,0.013574661,0,0,0,0,0,0.002262443,0.002262443,0,0,0,0,0,0,0,0,0,0,0.018099548,0,0,0,0,0,0,0,0,0,0,0,0
53,N+Trace,442,0.461358314,0.042154567,0.046838407,0,0,0,0.1264637,0.009367681,0,0,0,0.009367681,0,0,0.028103045,0,0,0,0.004683841,0.020361991,0,0,0.018099548,0,0.004524887,0.033936652,0.004524887,0.031674208,0,0,0,0.020361991,0,0.00678733,0.004524887,0,0.002262443,0.004524887,0,0.067873303,0.015837104,0,0.038461538,0.011312217,0,0,0.002262443,0,0.002262443,0.004524887,0,0,0,0,0,0,0,0,0,0.002262443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,N+Trace,471,0.348195329,0.042462845,0.061571125,0,0,0,0.157112527,0.004246285,0,0,0,0.006369427,0,0.002123142,0.042462845,0,0.002123142,0.004246285,0.004246285,0.031847134,0.002123142,0.008492569,0.008492569,0,0.002123142,0.012738854,0.004246285,0.029723992,0,0.002123142,0,0.029723992,0,0.006369427,0.004246285,0,0,0.010615711,0,0.06581741,0.004246285,0,0.063694268,0.014861996,0,0,0.002123142,0.004246285,0.002123142,0.004246285,0,0,0,0,0.002123142,0.002123142,0,0,0,0.002123142,0,0.004246285,0,0,0,0,0,0,0,0,0,0,0,0
55,N+Trace,421,0.418052257,0.028503563,0.028503563,0,0,0,0.182897862,0.009501188,0.004750594,0,0.014251781,0.004750594,0.002375297,0,0.038004751,0.002375297,0,0,0.002375297,0,0,0,0.007125891,0,0,0,0.004750594,0.052256532,0,0,0,0.064133017,0,0,0,0,0,0.002375297,0,0.076009501,0.007125891,0,0.028503563,0,0,0.007125891,0,0,0.002375297,0,0,0,0,0,0,0,0,0,0,0.002375297,0,0.004750594,0,0,0,0.002375297,0,0,0.002375297,0,0,0,0,0
56,N+Trace,440,0.404545455,0.045454545,0.070454545,0.002272727,0.002272727,0,0.075,0.004545455,0.002272727,0,0,0.013636364,0,0,0.068181818,0,0,0.004545455,0.002272727,0.011363636,0,0,0.004545455,0,0.002272727,0,0,0.054545455,0,0,0,0.052272727,0,0.009090909,0.004545455,0,0,0.006818182,0,0.056818182,0.006818182,0,0.072727273,0,0,0.004545455,0,0,0.002272727,0.002272727,0,0,0,0,0.002272727,0.002272727,0,0,0,0,0,0.002272727,0,0,0,0,0,0,0.002272727,0.002272727,0.002272727,0,0,0
57,P+Trace,498,0.196787149,0.134538153,0.010040161,0,0,0,0.108433735,0,0,0,0,0.012048193,0,0,0.034136546,0.002008032,0,0,0.008032129,0.010040161,0,0.016064257,0.008032129,0,0.002008032,0.072289157,0.002008032,0.0562249,0,0,0,0.198795181,0,0.010040161,0,0,0,0,0,0.022088353,0.002008032,0,0.068273092,0.008032129,0,0,0,0.004016064,0,0.002008032,0,0,0,0,0,0,0,0,0,0,0,0.008032129,0,0,0,0,0,0,0.004016064,0,0,0,0,0
58,P+Trace,451,0.261640798,0.062084257,0.028824834,0,0,0,0.046563193,0,0.002217295,0.00443459,0,0.019955654,0,0,0.050997783,0.00443459,0,0,0.00886918,0.011086475,0.002217295,0,0,0,0.006651885,0,0.00443459,0.066518847,0,0,0,0.250554324,0,0.00443459,0.00443459,0,0,0.006651885,0,0.011086475,0.00886918,0,0.095343681,0.00443459,0,0,0,0.00443459,0.00443459,0.002217295,0,0.00886918,0,0,0.00443459,0,0,0,0,0.002217295,0,0,0.002217295,0,0,0,0,0,0.002217295,0,0,0.002217295,0,0
59,P+Trace,426,0.438967136,0.046948357,0.039906103,0,0,0,0.105633803,0.004694836,0,0,0,0.009389671,0,0,0.063380282,0,0,0.004694836,0.007042254,0.004694836,0.002347418,0,0.009389671,0,0.002347418,0,0,0.028169014,0,0,0,0.110328639,0,0.009389671,0.004694836,0,0.002347418,0.007042254,0,0.011737089,0.004694836,0,0.061032864,0.004694836,0,0,0,0,0,0.002347418,0,0,0.004694836,0,0.007042254,0,0,0,0,0.002347418,0,0,0,0,0,0,0,0,0,0,0,,0,0
60,P+Trace,436,0.458715596,0.091743119,0.029816514,0,0,0,0.043577982,0,0,0,0,0.009174312,0,0,0.068807339,0,0,0,0.006880734,0.004587156,0,0,0,0,0.002293578,0,0,0.068807339,0,0,0,0.020642202,0,0.009174312,0,0,0,0.020642202,0,0.068807339,0.004587156,0,0.066513761,0.006880734,0,0,0.006880734,0,0,0.004587156,0,0,0,0,0,0,0,0,0,0.002293578,0,0,0,0,0,0,0,0,0.004587156,0,0,,0,0
61,N+P,472,0.288135593,0.050847458,0.036016949,0,0.004237288,0,0.044491525,0.012711864,0,0,0,0.004237288,0,0,0.029661017,0.004237288,0,0.004237288,0.002118644,0.01059322,0,0.042372881,0.004237288,0.004237288,0.021186441,0,0.004237288,0.016949153,0,0,0.004237288,0.190677966,0,0.006355932,0.004237288,0.004237288,0.002118644,0.01059322,0,0.031779661,0.008474576,0,0.084745763,0.012711864,0,0,0.004237288,0.012711864,0.002118644,0.006355932,0,0.008474576,0,0,0,0,0,0,0,0.01059322,0,0,0,0,0,0,0,0,0,0,0.002118644,0,0.006355932,0.002118644
62,N+P,490,0.36122449,0.067346939,0.07755102,0,0,0,0.097959184,0.004081633,0.004081633,0,0,0.010204082,0,0,0.03877551,0,0.002040816,0.006122449,0,0.008163265,0,0,0,0,0.002040816,0,0,0.012244898,0,0,0.010204082,0.095918367,0,0.006122449,0.004081633,0,0,0.012244898,0,0.014285714,0.010204082,0.012244898,0.065306122,0.028571429,0,0,0,0.010204082,0.004081633,0.004081633,0.002040816,0,0,0,0.006122449,0,0,0.002040816,0.002040816,0.006122449,0,0.012244898,0,0,0,0,0,0,0,0,0,0,0,0
63,N+P,483,0.327122153,0.093167702,0.057971014,0,0,0,0.01863354,0,0,0,0,0.00621118,0,0,0.053830228,0.008281573,0,0.00621118,0.002070393,0.01863354,0,0,0,0,0,0,0,0.086956522,0,0,0,0.134575569,0,0.00621118,0.004140787,0,0,0.00621118,0.002070393,0.024844721,0.026915114,0.016563147,0.035196687,0.022774327,0,0.004140787,0,0.004140787,0,0.01242236,0,0,0,0,0.002070393,0.002070393,0,0.002070393,0,0,0,0.008281573,0,0,0,0,0,0,0,0,0.002070393,0,0.004140787,0
64,N+P,465,0.339784946,0.086021505,0.055913978,0.004301075,0,0,0.03655914,0.017204301,0,0,0,0.010752688,0.002150538,0.002150538,0.055913978,0.002150538,0.004301075,0.008602151,0.002150538,0.025806452,0,0,0.012903226,0,0.004301075,0,0.006451613,0.021505376,0,0.002150538,0,0.051612903,0,0.002150538,0.004301075,0,0.004301075,0.006451613,0,0.023655914,0.023655914,0.008602151,0.07311828,0.023655914,0,0,0,0.004301075,0.004301075,0.012903226,0.004301075,0,0.004301075,0,0.006451613,0,0,0.002150538,0.002150538,0.008602151,0,0.015053763,0,0.002150538,0,0,0,0,0,0.006451613,0.004301075,0,0,0
65,N+P+Trace,476,0.159663866,0.046218487,0.012605042,0,0,0,0.073529412,0.012605042,0,0,0.178571429,0.010504202,0,0,0.033613445,0,0,0.006302521,0,0.012605042,0,0,0.021008403,0,0.006302521,0,0.00210084,0.016806723,0,0.004201681,0,0.228991597,0,0.006302521,0.008403361,0,0,0.008403361,0,0.006302521,0.012605042,0,0.075630252,0.016806723,0,0,0,0.008403361,0,0.006302521,0.00210084,0,0.004201681,0,0.006302521,0.008403361,0,0.00210084,0,0.00210084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,N+P+Trace,449,0.202672606,0.066815145,0.048997773,0,0,0,0.031180401,0,0,0,0,0.035634744,0.004454343,0,0.031180401,0,0,0.004454343,0.006681514,0.033407572,0.004454343,0.008908686,0,0,0.004454343,0.084632517,0,0.013363029,0,0,0,0.202672606,0,0.0155902,0.013363029,0,0,0.017817372,0,0.035634744,0.004454343,0,0.08908686,0.024498886,0,0,0,0.004454343,0,0,0,0,0,0,0.004454343,0.006681514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,N+P+Trace,420,0.271428571,0.066666667,0.016666667,0,0,0,0.126190476,0,0,0,0,0.004761905,0,0,0.035714286,0,0,0,0.004761905,0.014285714,0,0.00952381,0,0.007142857,0,0.073809524,0,0.00952381,0,0,0,0.178571429,0,0.004761905,0,0,0,0.007142857,0,0.052380952,0.007142857,0,0.069047619,0.016666667,0,0,0.002380952,0.004761905,0,0.002380952,0.002380952,0,0,0,0,0,0.002380952,0.002380952,0,0.004761905,0,0,0,0,0,0.002380952,0,0,0,0,0,0,0,0
68,N+P+Trace,416,0.379807692,0.036057692,0.014423077,0,0.002403846,0,0.076923077,0.007211538,0,0,0,0.007211538,0,0,0.045673077,0,0,0.002403846,0.004807692,0.007211538,0,0.024038462,0,0,0.004807692,0,0.012019231,0.019230769,0,0,0,0.144230769,0,0.002403846,0.009615385,0,0,0.012019231,0,0.052884615,0.002403846,0.002403846,0.100961539,0.009615385,0,0,0.002403846,0,0.002403846,0,0,0,0.004807692,0,0,0,0,0,0,0.004807692,0,0,0,0,0,0,0,0.004807692,0,0,0,0,0,0
69,Chelex,447,0.284116331,0.051454139,0.026845638,0,0.004474273,0.013422819,0.105145414,0,0,0,0.044742729,0.004474273,0,0,0.067114094,0,0,0.002237136,0.002237136,0.004474273,0,0.004474273,0.008948546,0,0.002237136,0,0.006711409,0.008948546,0,0,0,0.051454139,0,0.004474273,0.004474273,0,0,0.002237136,0,0.067114094,0.011185682,0,0.158836689,0.033557047,0,0,0,0,0,0.004474273,0,0.015659955,0,0,0,0,0,0,0,0,0,0.004474273,0,0,0,0,0,0,0,0,0,0,0,0
70,Chelex,441,0.287981859,0.036281179,0.027210884,0,0,0.01814059,0.210884354,0.013605442,0,0,0,0.006802721,0,0,0.056689342,0,0.002267574,0.002267574,0.002267574,0.011337868,0,0.013605442,0,0,0,0,0.006802721,0.009070295,0,0,0,0.034013605,0,0.006802721,0.004535147,0,0,0.002267574,0,0.079365079,0.009070295,0,0.115646259,0.024943311,0,0,0.002267574,0,0,0.004535147,0,0,0.004535147,0,0,0,0,0,0,0.004535147,0,0,0,0,0,0,0,0,0,0,0,0,0.002267574,0
71,Chelex,428,0.254672897,0.044392523,0.007009346,0,0.004672897,0,0.268691589,0,0.002336449,0,0.009345794,0,0,0,0.08411215,0.004672897,0,0,0,0,0,0.009345794,0,0,0.002336449,0,0.002336449,0.030373832,0,0,0,0.060747664,0,0.004672897,0.009345794,0,0,0.002336449,0,0.093457944,0.01635514,0.009345794,0.037383178,0.018691589,0,0,0.004672897,0.009345794,0,0,0.002336449,0,0,0,0,0,0.002336449,0,0,0,0,0,0.002336449,0,0,0,0,0,0,0,0,0,0.002336449,0
72,Chelex,415,0.325301205,0.069879518,0.014457831,0,0.002409639,0.014457831,0.142168675,0.014457831,0,0,0,0.009638554,0,0,0.098795181,0,0,0,0,0,0,0.009638554,0.009638554,0,0,0,0,0.048192771,0,0,0,0.036144578,0,0.004819277,0,0,0,0,0,0.113253012,0.014457831,0,0.05060241,0.01686747,0,0,0,0.004819277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0